                                        Productos 
=====================================================================================================================================
Codigo    Descripciom                                                     Precio       Stock
BIT-434   Campana Extractora modelo Glass                                 375.09         0
SSE-115   Refrigeradora  CoolStyle 311N Steel                            3243.58        10
NMV-644   Lavadora Automatica                                            3272.48         0
MLE-193   Cocina a gas Ingenious                                         2779.41         6
YYK-309   Refrigeradora Door in Door                                     4079.44        13
QVJ-982   Horno Microondas 0.7 p3                                        1352.76         1
VZV-827   Refrigeradora Top Mount                                        1784.27         0
HFC-845   Televisor Serie LED R555A                                      3736.75         7
AVM-258   Cocina a gas Toscana                                           2831.23         4
YUQ-590   Refrigeradora  CoolStyle 395N Steel                            1979.07         0
FLJ-040   Parlantes portatiles SOUNDSHOOTER                              3703.37         4
EUZ-452   Impresora Mutifuncional Led Color                              3623.88         3
SPR-580   Dispensador de Agua                                             404.35         6
WLL-607   Cocina Electronica Convencion                                  1525.04         0
UWA-476   Autoradio MEX BT3150U                                          1191.39         2
YOT-530   Deshumedecedor DM-190H                                          941.73         1
NSR-955   Cocina a gas Blogna                                            2591.44        12
SJD-818   Refrigeradora  CoolStyle 281A Steel                            3387.75        18
BCK-361   Tablets 10.1                                                   1872.53         0
ZAF-449   Tablet Cardle                                                   816.43        13
OBI-353   Terma Milenium                                                 2960.56         5
SNY-500   Cocina a gas Praga Quarzo                                      3297.09         0
CSZ-863   Video Filmadora                                                1713.57         5
TMJ-043   Lavadora EcoBubble                                             2400.79         2
MTF-868   Impresora Monocromatica WorkForce M205                          971.59         1
BMJ-772   Refrigeradora Side by Side                                      936.32        11
MYC-756   Cocina a gas Leganza INOX                                       1506.8        15
FCN-617   Televisor Plasma 60                                            4121.05         5
ONB-903   Reproductor BLU-RAY 3D                                          653.67        10
VXS-438   Mouse Blue Tooth                                                 60.11         0
GLC-370   Video Proyector Power Lite 95                                   552.24         7
OPT-996   Mini componente GPX88                                          1367.48         3
PFD-286   Refrigeradora cap. 415 litros                                  2776.02         0
KBY-991   Home Theater E4100                                             1101.08         6
KQQ-136   Impresora Laser EPSON                                          1139.56         1
NSM-283   Cocina a gas FFG3053SL                                          936.81         6
ICX-503   Cocina a gas Roma                                              1221.02         4
LDR-510   Mini componente ESX9                                           2701.87        10
PJG-338   Impresora Mutifuncional Inalambricar                            1067.8        14
ISB-205   Camara fotografica 16MP                                        2976.43         3
UDR-957   Refrigeradora ECOTT 423 IXL                                      861.7        15
RAH-420   Cocina a gas Pro 6550 INOX                                      157.01         1
JDQ-505   Lavadora Modelo Aquamatic                                      1572.31        13
PPX-620   Aire acondicionado tipo split                                  2873.42         7
XZG-521   Secadora Electrica FAQE7001LW                                   704.27        15
VJI-529   Horno Empotrable Electrico                                     1102.67         2
JCW-489   Conservadora Exibidora CMVE-250                                2064.97         1
OTS-581   Galaxy Note 8.0                                                 2653.1        14
UTN-601   Autoradio XAV-601 BT                                            562.51         1
TZY-323   Terma a gas                                                    2341.01         1
TXM-139   Televisor LED FULL HD 3D                                       1092.95         0
ADX-669   Refrigeradora cap. 220 litros                                  1239.38        11
QRC-609   Camara de video EOS                                            1806.66         0
YJD-279   Cocina a gas Florencia                                         1028.43         5
AHB-459   Reproductor DVD Portatil TV 7                                    685.5         3
MMA-577   Congeladora Horizontal 252 Lts.                                 1780.3         1
VCL-867   Cocina a gas Rubi 2                                             699.07         4
JDC-028   Puntero Laser                                                    30.48         7
JXD-139   Terma Evolucion Soltu                                           586.02         0
KQA-580   Cocina Empotrable Glassy Plus                                  2907.92         2
XSD-310   Refrigeradora No frost                                         2259.93         0
YYU-726   Reproductor DVD Portatil                                        767.82         1
EVN-510   Cocina a gas FFG3011LB                                          2672.3        10
LZK-729   Cocina a gas Kristel                                           2850.91         3
AQS-362   Teclado Inalambrico USB                                         233.05         0
AWT-354   Galaxy Gear                                                    3409.22        12
CJE-310   Mini componente GPX33                                          3643.39         8
KWP-672   Televisor UHD TV                                                1625.3         5
DOV-560   Impresora Laser Mutifuncion Monocromatica                      1203.14         1
RBE-789   Televisor SMART TV                                             3303.07         3
KCO-488   Ventilador de pared                                              679.6         6
KSO-608   Secadora Modelo Italica                                         914.17        12
TKM-141   Cocina a gas Marsella                                           402.24         1
QUU-384   Lavavajilla Blue Touch                                         2545.54         0
VRR-793   Rack Giratorio 32/60                                            241.71         4
SAM-013   Cocina a gas FFG3047SL                                         2275.18         0
YMU-875   Cocina a gas Plermo Quarzo                                      3232.1         1
SSD-176   Refrigeradora Linea Gallery                                     567.71         2
DFJ-952   Cocina a gas Prestige 60 INOX                                  3342.77         3
BZS-261   Cocina a gas Trento                                            3087.87         7
ARS-231   Audifonos Stereos                                               327.62         3
SJQ-827   Reproductor Multimedia Touch Screen                            1719.56        13
UJV-290   Cocina a gas Fassina Plus                                      2423.26         1
QTK-083   Congeladora Conservador Vertical 476 Lts.                      2682.73         3
