Codigo Libro   Nombre del libro                                            Autor del libro                                   
KWL0415        1923                                                        Roberto Villa Garcia                              
ZAL2738        1984                                                        George Orwell                                     
VFI8064        A sangre fria                                               Truman Capote                                     
QHZ8547        Adios a las armas                                           Hernest Hemingway                                 
YKQ9278        Alicia en el pais de las maravillas                         Lewis Carroll                                     
ACM9578        Amadis de gaula                                             Garci Rodriguez Montalvo                          
JEN0751        Ana Karenina                                                Leon Tolstoi                                      
SFR1226        Ana la de las tejas verdes                                  Lucy Maud Montgomery                              
GUN8655        Angeles y demoniosi                                         Dan Brown                                         
GQC1814        Apocalipticos e integrados                                  Umberto Eco                                       
VYK6352        Armas germenes y acero                                      Jared Diamond                                     
VSG3432        Bajo bandera negra                                          David Cordingly                                   
LJD9991        Baudolino                                                   Umberto Eco                                       
XIU2628        Cabo Trafalgar                                              Arturo Perez-Reverte                              
EBE0042        Capitanes intrepidos                                        Rudyard Kipling                                   
KLO8691        Catedral                                                    Raymond Carver                                    
YJI3961        Cien anios de soledad                                       Gabriel Garcia Marquez                            
OQK1590        Cometas en el cielo                                         Khaled Hosseini                                   
ETZ8565        Confesiones de una mascara                                  Yukio Mishima                                     
LQL0880        Contra el fascismo                                          Umberto Eco                                       
AKU9740        Conversacion en La Catedral                                 Mario Vargas Llosa                                
YZV6954        Corazon de las tinieblas                                    Joseph Conrad                                     
ION3794        Crepúsculo                                                  Stephenie Meyer                                   
OBH4691        Crimen y castigo                                            Fiodor Dostoyevski                                
SQB7146        Cronica de una muerte anunciada                             Gabriel Garcia Marquez                            
OWU1533        Cuatro principes                                            John Julius Norwich                               
EYV0597        Cuentos de la selva                                         Horacio Quiroga                                   
BZX4462        Culpa mia                                                   Mercedes Ron                                      
GXB5722        Cumbres borrascosas                                         Emily Brontë                                      
OCI8959        David Copperfield                                           Charles Dickens                                   
LGB2311        Decameron                                                   Giovanni Boccaccio                                
IIM5175        Diamantes y pedernales                                      Jose Maria Arguedas                               
HCT8192        Diario                                                      Ana FranK                                         
DDU0764        Dioses tumbas y sabios                                      C. W. Ceram                                       
FNM6936        Divina comedia                                              Dante Alighieri                                   
CMP1150        Don Quijote de la Mancha                                    Miguel de Cervantes                               
QCA9584        Dr. Jekyll y Mr. Hyde                                       Robert Louis Stevenson                            
UQL8643        Dracula                                                     Bram Stoker                                       
RNG2321        El Aleph                                                    Jorge Luis Borges                                 
VPN5351        El Amante                                                   Ana Maria Moix                                    
CKC4095        El Gran Gatsby                                              F. Scott Fitzgerald                               
MNL3677        El Hobbit                                                   J.R.R. Tolkien                                    
KCI5219        El Maestro y Margarita                                      Mijail Bulgakov                                   
EEJ4830        El Principito                                               Antoine de Saint-Exupery                          
PGK5617        El Rey Lear                                                 William Shakespeare                               
JZU0977        El alquimista                                               Paulo Coelho                                      
RSK1164        El amor en los tiempos del colera                           Gabriel Garcia Marquez                            
WYE2119        El asedio                                                   Arturo Perez-Reverte                              
MBB0685        El capitan Alatriste                                        Arturo Perez-Reverte                              
WCZ0845        El cementerio de Praga                                      Umberto Eco                                       
WGA2754        El club Dumas                                               Arturo Perez-Reverte                              
LJE6687        El codigo Da Vinci                                          Dan Brown                                         
TAB4639        El color que cayo del cielo                                 H. P. Lovecraft                                   
JHP0390        El conde de Montecristo                                     Alexandre Dumas                                   
TVR7016        El corazon de las tinieblas                                 Joseph Conrad                                     
RYI5447        El corazon es un cazador solitario                          Carson Mccullers                                  
IUI3314        El coronel no tiene quien le escriba                        Gabriel Garcia Marquez                            
