Nombre         Rol            Categoria      Puntaje    Codigo
Aatrox         TOP              God           89.5       105
Ahri           MID              A            52.62        68
Akali          MID              S            61.16        33
Akshan         MID              A            49.05       116
Alistar        SUPPORT          B            44.24       126
Amumu          SUPPORT          A            51.53       157
Anivia         MID              A            50.12       149
Annie          MID              B            44.34        77
Aphelios       ADC              D            29.66        65
Ashe           ADC              A            51.12       239
Aurelion Sol   MID              B            42.52       193
Azir           MID              C            37.89       176
Bard           SUPPORT          A            49.19        39
Bel'Veth       JUNGLE           A            53.34        23
Blitzcrank     SUPPORT          S            67.25        55
Brand          SUPPORT          A            51.81        16
Braum          SUPPORT          B             40.9       217
Caitlyn        ADC              God          91.95        94
Camille        TOP              S            59.25       232
Cassiopeia     MID              B            44.68        90
Cho'Gath       MID              B            46.94        29
Corki          MID              B            43.17       146
Darius         TOP              God          84.98       209
Diana          JUNGLE           God          75.15       242
Dr. Mundo      TOP              God          87.33        52
Draven         ADC              A            51.88       122
Ekko           JUNGLE           S             70.5        20
Elise          JUNGLE           A            53.18       151
Evelynn        JUNGLE           S            58.89        35
Ezreal         ADC              God          78.95        72
Fiddlesticks   JUNGLE           B            48.15        82
Fiora          TOP              God          91.89        63
Fizz           MID              A             50.6       215
Galio          MID              A            50.83       140
Gangplank      TOP              S            66.24        44
Garen          TOP              S            57.26        97
Gnar           TOP              B            41.36        48
Gragas         MID              B            45.21        75
Graves         JUNGLE           S             60.4       249
Gwen           TOP              B            47.51       137
Hecarim        JUNGLE           God          78.33        88
Heimerdinger   SUPPORT          A            53.24        59
Illaoi         TOP              A            53.69       221
Irelia         TOP              S            59.83       234
Ivern          JUNGLE           C            33.36       101
Janna          SUPPORT          S            62.44        57
Jarvan IV      JUNGLE           C            37.87       218
Jax            TOP              S            65.52       243
Jayce          MID              B            45.37       171
Jhin           ADC              God           79.3       165
Jinx           ADC              A            50.98        85
K'Sante        TOP              God          77.42        70
Kai'Sa         ADC              God          83.73       248
Kalista        ADC              D            30.23       161
Karma          SUPPORT          S            62.44        56
Karthus        MID              B            45.53        12
Kassadin       MID              S            62.01       128
Katarina       MID              S            58.91        89
Kayle          MID              B            45.36       134
Kayn           JUNGLE           God          77.24       138
Kennen         MID              B            44.54        81
Kha'Zix        JUNGLE           A            56.36        26
Kindred        JUNGLE           S            63.54       173
Kled           MID              A             51.5         7
Kog'Maw        ADC              C            36.04       228
LeBlanc        MID              B            47.02        53
Lee Sin        JUNGLE           God          72.89       200
Leona          SUPPORT          A            55.21       240
Lillia         JUNGLE           S             60.3        91
Lissandra      MID              B            45.31       210
Lucian         ADC              A            56.83       192
Lulu           SUPPORT          God          73.56       136
