Nombre         ROL              Categoria     Puntaje   Codigo
=================================================================
Aatrox         TOP              God           89.5       105
Ahri           MID              A            52.62        68
Akali          MID              S            61.16        33
Akali          TOP              B            41.14       195
Akshan         MID              A            49.05       116
Akshan         TOP              B            41.96        95
Alistar        SUPPORT          B            44.24       126
Amumu          SUPPORT          A            51.53       157
Amumu          JUNGLE           C            40.62        69
Anivia         MID              A            50.12       149
Anivia         SUPPORT          C            34.25        79
Annie          MID              B            44.34        77
Annie          SUPPORT          D            26.13         6
Aphelios       ADC              D            29.66        65
Ashe           ADC              A            51.12       239
Ashe           SUPPORT          B            48.49       109
Aurelion Sol   MID              B            42.52       193
Azir           MID              C            37.89       176
Bard           SUPPORT          A            49.19        39
Bel'Veth       JUNGLE           A            53.34        23
Blitzcrank     SUPPORT          S            67.25        55
Brand          SUPPORT          A            51.81        16
Brand          MID              B            41.94       113
Braum          SUPPORT          B             40.9       217
Caitlyn        ADC              God          91.95        94
Camille        TOP              S            59.25       232
Cassiopeia     MID              B            44.68        90
Cassiopeia     TOP              B            41.86       188
Cassiopeia     ADC              D            29.96       226
Cho'Gath       MID              B            46.94        29
Cho'Gath       TOP              B            45.87       186
Corki          MID              B            43.17       146
Darius         TOP              God          84.98       209
Diana          JUNGLE           God          75.15       242
Diana          MID              A            48.95        17
Dr. Mundo      TOP              God          87.33        52
Dr. Mundo      JUNGLE           B            47.88       174
Draven         ADC              A            51.88       122
Ekko           JUNGLE           S             70.5        20
Ekko           MID              A            49.66       103
Elise          JUNGLE           A            53.18       151
Evelynn        JUNGLE           S            58.89        35
Ezreal         ADC              God          78.95        72
Fiddlesticks   JUNGLE           B            48.15        82
Fiddlesticks   SUPPORT          C            37.21       150
Fiora          TOP              God          91.89        63
Fizz           MID              A             50.6       215
Galio          MID              A            50.83       140
Galio          SUPPORT          C            37.15       220
Gangplank      TOP              S            66.24        44
Gangplank      MID              A             49.1       224
Garen          TOP              S            57.26        97
Gnar           TOP              B            41.36        48
Gragas         MID              B            45.21        75
Gragas         TOP              C            37.87        27
Gragas         SUPPORT          C            33.66        67
Gragas         JUNGLE           C            33.32       121
Graves         JUNGLE           S             60.4       249
Gwen           TOP              B            47.51       137
Gwen           JUNGLE           D            20.03        43
Hecarim        JUNGLE           God          78.33        88
Heimerdinger   SUPPORT          A            53.24        59
Heimerdinger   MID              A            48.96       214
Heimerdinger   TOP              C            35.54       110
Illaoi         TOP              A            53.69       221
Irelia         TOP              S            59.83       234
Irelia         MID              A            54.88       181
Ivern          JUNGLE           C            33.36       101
Ivern          SUPPORT          D            29.27       230
Janna          SUPPORT          S            62.44        57
Jarvan IV      JUNGLE           C            37.87       218
